scene_id,timestamp,cup_id,x,y,hand_distance,last_touched_time,touch_count,moved_recently,distance_to_tray,user_present,user_absent_time,active_cup_id,is_active_cup,time_near_cup,time_since_release,release_count,cup_motion_distance,stationary_time,was_moved,used_cup_candidate,idle_candidate,label
0,1779178685.451,0,0.7562,0.6472,999.0,999.0,0,0,0.5154,1,0.192,-1,0,0.0,999.0,0,0.0,0.0,0,0,1,IDLE
0,1779178685.451,1,0.5625,0.7222,999.0,999.0,0,0,0.5259,1,0.192,-1,0,0.0,999.0,0,0.0,0.0,0,0,1,IDLE
0,1779178685.451,2,0.9242,0.5875,999.0,999.0,0,0,0.5746,1,0.192,-1,0,0.0,999.0,0,0.0,0.0,0,0,1,IDLE
1,1779178686.029,0,0.7562,0.6472,999.0,999.578,0,0,0.5154,1,0.0,-1,0,0.0,999.578,0,0.0,0.578,0,0,1,IDLE
1,1779178686.029,1,0.5625,0.7236,999.0,999.578,0,0,0.5273,1,0.0,-1,0,0.0,999.578,0,0.0,0.578,0,0,1,IDLE
1,1779178686.029,2,0.9242,0.5875,999.0,999.578,0,0,0.5746,1,0.0,-1,0,0.0,999.578,0,0.0,0.578,0,0,1,IDLE
2,1779178686.591,0,0.7562,0.6472,999.0,1000.14,0,0,0.5154,1,0.437,-1,0,0.0,1000.14,0,0.0,1.14,0,0,1,IDLE
2,1779178686.591,1,0.5625,0.7236,999.0,1000.14,0,0,0.5273,1,0.437,-1,0,0.0,1000.14,0,0.0,1.14,0,0,1,IDLE
2,1779178686.591,2,0.9242,0.5875,999.0,1000.14,0,0,0.5746,1,0.437,-1,0,0.0,1000.14,0,0.0,1.14,0,0,1,IDLE
3,1779178687.151,0,0.7562,0.6472,999.0,1000.7,0,0,0.5154,1,0.997,-1,0,0.0,1000.7,0,0.0,1.7,0,0,1,IDLE
3,1779178687.151,1,0.5625,0.7222,999.0,1000.7,0,0,0.5259,1,0.997,-1,0,0.0,1000.7,0,0.0,1.7,0,0,1,IDLE
3,1779178687.151,2,0.9242,0.5875,999.0,1000.7,0,0,0.5746,1,0.997,-1,0,0.0,1000.7,0,0.0,1.7,0,0,1,IDLE
4,1779178687.726,0,0.7562,0.6472,999.0,1001.276,0,0,0.5154,1,1.572,-1,0,0.0,1001.276,0,0.0,2.276,0,0,1,IDLE
4,1779178687.726,1,0.5625,0.7222,999.0,1001.276,0,0,0.5259,1,1.572,-1,0,0.0,1001.276,0,0.0,2.276,0,0,1,IDLE
4,1779178687.726,2,0.9242,0.5875,999.0,1001.276,0,0,0.5746,1,1.572,-1,0,0.0,1001.276,0,0.0,2.276,0,0,1,IDLE
5,1779178688.286,0,0.7305,0.6333,999.0,1001.835,0,1,0.4908,1,2.132,-1,0,0.0,1001.835,0,0.0,0.0,0,0,1,IDLE
5,1779178688.286,1,0.5266,0.7083,999.0,1001.835,0,1,0.509,1,2.132,-1,0,0.0,1001.835,0,0.0321,0.0,1,0,1,IDLE
5,1779178688.286,2,0.9023,0.575,999.0,1001.835,0,1,0.55,1,2.132,-1,0,0.0,1001.835,0,0.0,0.0,0,0,1,IDLE
6,1779178688.861,0,0.6109,0.6389,999.0,1002.411,0,1,0.4527,1,2.707,-1,0,0.0,1002.411,0,0.2347,0.0,1,0,1,IDLE
6,1779178688.861,1,0.4234,0.725,999.0,1002.411,0,1,0.5306,1,2.707,-1,0,0.0,1002.411,0,0.2554,0.0,1,0,1,IDLE
6,1779178688.861,2,0.7672,0.5708,999.0,1002.411,0,1,0.4571,1,2.707,-1,0,0.0,1002.411,0,0.2513,0.0,1,0,1,IDLE
7,1779178689.423,0,0.8773,0.6514,999.0,1002.972,0,1,0.5883,1,3.269,-1,0,0.0,1002.972,0,0.4476,0.0,1,0,1,IDLE
7,1779178689.423,1,0.6742,0.7125,999.0,1002.972,0,1,0.5413,1,3.269,-1,0,0.0,1002.972,0,0.456,0.0,1,0,1,IDLE
7,1779178689.423,2,0.1484,0.9014,999.0,1002.972,0,1,0.7846,1,3.269,-1,0,0.0,1002.972,0,1.1648,0.0,1,0,1,IDLE
8,1779178689.999,0,0.5484,0.6097,999.0,1003.548,0,1,0.4126,1,3.845,-1,0,0.0,1003.548,0,0.7076,0.0,1,0,1,IDLE
8,1779178689.999,1,0.3602,0.6986,999.0,1003.548,0,1,0.5179,1,3.845,-1,0,0.0,1003.548,0,0.6753,0.0,1,0,1,IDLE
8,1779178689.999,2,0.7016,0.5417,999.0,1003.548,0,1,0.3967,1,3.845,-1,0,0.0,1003.548,0,2.1418,0.0,1,0,1,IDLE
9,1779178690.559,0,0.6164,0.6417,999.0,1004.109,0,1,0.4567,1,4.405,-1,0,0.0,1004.109,0,0.5364,0.0,1,0,1,IDLE
9,1779178690.559,1,0.4297,0.7292,999.0,1004.109,0,1,0.5338,1,4.405,-1,0,0.0,1004.109,0,0.485,0.0,1,0,1,IDLE
9,1779178690.559,2,0.7719,0.5722,999.0,1004.109,0,1,0.4609,1,4.405,-1,0,0.0,1004.109,0,1.9552,0.0,1,0,1,IDLE
10,1779178691.115,0,0.6195,0.6417,999.0,1004.664,0,0,0.4576,1,4.961,-1,0,0.0,1004.664,0,0.3334,0.556,1,0,1,IDLE
10,1779178691.115,1,0.4313,0.7292,999.0,1004.664,0,0,0.5336,1,4.961,-1,0,0.0,1004.664,0,0.2864,0.556,1,0,1,IDLE
10,1779178691.115,2,0.7758,0.5736,999.0,1004.664,0,0,0.4644,1,4.961,-1,0,0.0,1004.664,0,1.7426,0.556,1,0,1,IDLE
11,1779178691.696,0,0.6203,0.6431,999.0,1005.245,0,0,0.4591,1,5.542,-1,0,0.0,1005.245,0,0.1809,1.136,1,0,1,IDLE
11,1779178691.696,1,0.4313,0.7292,999.0,1005.245,0,0,0.5336,1,5.542,-1,0,0.0,1005.245,0,0.1417,1.136,1,0,1,IDLE
11,1779178691.696,2,0.7766,0.5736,999.0,1005.245,0,0,0.4648,1,5.542,-1,0,0.0,1005.245,0,0.1975,1.136,1,0,1,IDLE
12,1779178692.255,0,0.6203,0.6431,999.0,1005.804,0,0,0.4591,1,6.101,-1,0,0.0,1005.804,0,0.0,1.696,1,0,1,IDLE
12,1779178692.255,1,0.432,0.7292,999.0,1005.804,0,0,0.5335,1,6.101,-1,0,0.0,1005.804,0,0.0,1.696,1,0,1,IDLE
12,1779178692.255,2,0.7766,0.5736,999.0,1005.804,0,0,0.4648,1,6.101,-1,0,0.0,1005.804,0,0.0,1.696,1,0,1,IDLE
13,1779178692.831,0,0.6203,0.6431,999.0,1006.38,0,0,0.4591,1,0.0,-1,0,0.0,1006.38,0,0.0,2.272,1,0,1,IDLE
