scene_id,timestamp,cup_id,x,y,hand_distance,last_touched_time,touch_count,moved_recently,distance_to_tray,user_present,user_absent_time,label
0,1779169612.119,1,0.682,0.1319,0.3044,999.0,0,0,0.1943,1,0.0,CLEANUP_CANDIDATE
0,1779169612.119,2,0.7016,0.4819,0.163,999.0,0,0,0.3466,1,0.0,CLEANUP_CANDIDATE
1,1779169612.68,1,0.6914,0.4472,0.0157,0.0,1,1,0.3127,1,0.0,WAIT
1,1779169612.68,2,0.6797,0.5958,0.0579,0.0,1,1,0.4347,1,0.0,WAIT
2,1779169613.252,1,0.5406,0.2319,0.1872,0.572,1,1,0.0517,1,0.0,ASK
2,1779169613.252,2,0.6906,0.4472,0.0442,0.0,5,0,0.3122,1,0.0,WAIT
3,1779169613.812,2,0.6461,0.4764,0.0994,0.0,9,0,0.3126,1,0.0,WAIT
4,1779169614.393,1,0.4742,0.2236,0.2855,1.713,1,0,0.035,1,0.0,ASK
4,1779169614.393,2,0.6336,0.4653,0.1098,0.0,13,0,0.297,1,0.0,WAIT
5,1779169614.954,1,0.4805,0.2528,0.1719,2.274,1,0,0.0563,1,0.0,ASK
5,1779169614.954,2,0.6273,0.4528,0.0365,0.0,17,0,0.283,1,0.0,WAIT
6,1779169615.526,1,0.4875,0.2472,0.168,0.429,2,0,0.0488,1,0.0,ASK
6,1779169615.526,2,0.6375,0.4111,0.0416,0.0,21,0,0.2519,1,0.0,WAIT
7,1779169616.089,1,0.5172,0.3069,0.1433,0.991,2,0,0.1083,1,0.0,ASK
7,1779169616.089,2,0.6477,0.4153,0.034,0.0,25,0,0.261,1,0.0,WAIT
8,1779169616.648,1,0.5164,0.3194,0.1358,1.55,2,0,0.1206,1,0.0,ASK
8,1779169616.648,2,0.6406,0.4097,0.0342,0.0,29,0,0.2525,1,0.0,WAIT
9,1779169617.225,1,0.4875,0.275,0.161,2.127,2,0,0.076,1,0.0,ASK
9,1779169617.225,2,0.6312,0.3986,0.0338,0.0,33,0,0.2381,1,0.0,WAIT
10,1779169617.786,1,0.4891,0.2778,0.1584,2.689,2,0,0.0785,1,0.0,ASK
10,1779169617.786,2,0.6305,0.4,0.0337,0.0,37,0,0.2388,1,0.0,WAIT
11,1779169618.36,1,0.5094,0.2972,0.132,3.262,2,0,0.0977,1,0.0,ASK
11,1779169618.36,2,0.6258,0.3806,0.0337,0.0,41,0,0.22,1,0.0,WAIT
12,1779169618.92,1,0.5188,0.2236,0.0705,0.0,5,0,0.0302,1,0.0,WAIT
12,1779169618.92,2,0.6203,0.3292,0.0353,0.0,45,1,0.1765,1,0.0,WAIT
13,1779169619.478,1,0.4422,0.2194,0.1114,0.0,9,0,0.061,1,0.0,WAIT
13,1779169619.478,2,0.5992,0.2361,0.0357,0.0,49,0,0.1056,1,0.0,WAIT
14,1779169620.053,1,0.4375,0.2292,0.1076,0.0,13,1,0.069,1,0.0,WAIT
14,1779169620.053,2,0.5898,0.2083,0.0349,0.0,53,0,0.0902,1,0.0,WAIT
15,1779169620.616,1,0.4336,0.2319,0.1016,0.0,17,0,0.0737,1,0.0,WAIT
15,1779169620.616,2,0.5789,0.2014,0.0357,0.0,57,0,0.0789,1,0.0,WAIT
16,1779169621.193,1,0.5125,0.2736,0.0904,0.0,21,1,0.0747,1,0.0,WAIT
16,1779169621.193,2,0.8641,0.1056,0.2316,0.146,60,1,0.3761,1,0.0,ASK
17,1779169621.753,1,0.4836,0.2556,0.2692,0.56,21,1,0.0579,1,0.0,ASK
17,1779169621.753,2,0.7414,0.4611,0.0443,0.0,63,1,0.3556,1,0.0,WAIT
18,1779169622.328,1,0.4906,0.2958,0.2629,1.135,21,0,0.0963,1,0.0,ASK
18,1779169622.328,2,0.7602,0.4931,0.0461,0.0,67,0,0.3919,1,0.0,WAIT
19,1779169622.889,1,0.475,0.3,0.2772,1.696,21,0,0.1031,1,0.0,ASK
19,1779169622.889,2,0.7586,0.5056,0.0479,0.0,71,0,0.4003,1,0.0,WAIT
20,1779169623.449,1,0.475,0.2986,0.2807,2.256,21,0,0.1017,1,0.0,ASK
20,1779169623.449,2,0.7586,0.5306,0.0556,0.0,75,0,0.4197,1,0.0,WAIT
21,1779169624.025,1,0.4813,0.3,0.2847,2.832,21,0,0.1017,1,0.0,ASK
21,1779169624.025,2,0.7586,0.5458,0.067,0.0,79,0,0.4318,1,0.0,WAIT
22,1779169624.588,1,0.4719,0.3167,0.2864,3.395,21,0,0.12,1,0.0,ASK
22,1779169624.588,2,0.7586,0.5458,0.0668,0.0,83,0,0.4318,1,0.0,WAIT
23,1779169625.162,1,0.4766,0.3014,0.2869,3.969,21,0,0.1041,1,0.0,ASK
23,1779169625.162,2,0.7586,0.5458,0.0664,0.0,87,0,0.4318,1,0.0,WAIT
24,1779169625.721,1,0.4781,0.2847,0.2916,4.528,21,0,0.0875,1,0.0,ASK
24,1779169625.721,2,0.7586,0.5458,0.067,0.0,91,0,0.4318,1,0.0,WAIT
25,1779169626.297,1,0.4719,0.3194,0.2846,5.104,21,0,0.1227,1,0.0,ASK
25,1779169626.297,2,0.7586,0.5458,0.0664,0.0,95,0,0.4318,1,0.0,WAIT
26,1779169626.857,1,0.4766,0.3028,0.287,5.664,21,0,0.1054,1,0.0,ASK
26,1779169626.857,2,0.7586,0.5458,0.0661,0.0,99,0,0.4318,1,0.0,WAIT
27,1779169627.416,1,0.4688,0.3222,0.2865,6.223,21,0,0.1262,1,0.0,ASK
27,1779169627.416,2,0.7586,0.5458,0.0661,0.0,103,0,0.4318,1,0.0,WAIT
28,1779169627.992,1,0.4742,0.3056,0.2878,6.799,21,0,0.1087,1,0.0,ASK
28,1779169627.992,2,0.7586,0.5458,0.0661,0.0,107,0,0.4318,1,0.0,WAIT
