scene_id,timestamp,cup_id,x,y,hand_distance,last_touched_time,touch_count,moved_recently,distance_to_tray,user_present,user_absent_time,active_cup_id,is_active_cup,time_near_cup,time_since_release,release_count,cup_motion_distance,stationary_time,was_moved,used_cup_candidate,idle_candidate,label
0,1779177886.166,0,0.7227,0.6403,999.0,999.0,0,0,0.4934,1,0.0,-1,0,0.0,999.0,0,0.0,0.0,0,0,1,IDLE
0,1779177886.166,1,0.5727,0.6972,999.0,999.0,0,0,0.5025,1,0.0,-1,0,0.0,999.0,0,0.0,0.0,0,0,1,IDLE
0,1779177886.166,2,0.7992,0.5819,999.0,999.0,0,0,0.4852,1,0.0,-1,0,0.0,999.0,0,0.0,0.0,0,0,1,IDLE
1,1779177886.744,0,0.7227,0.6389,999.0,999.578,0,0,0.4921,1,0.0,-1,0,0.0,999.578,0,0.0,0.578,0,0,1,IDLE
1,1779177886.744,1,0.5727,0.6972,999.0,999.578,0,0,0.5025,1,0.0,-1,0,0.0,999.578,0,0.0,0.578,0,0,1,IDLE
1,1779177886.744,2,0.7992,0.5819,999.0,999.578,0,0,0.4852,1,0.0,-1,0,0.0,999.578,0,0.0,0.578,0,0,1,IDLE
2,1779177887.304,0,0.7227,0.6403,999.0,1000.138,0,0,0.4934,1,0.0,-1,0,0.0,1000.138,0,0.0,1.138,0,0,1,IDLE
2,1779177887.304,1,0.5727,0.6972,999.0,1000.138,0,0,0.5025,1,0.0,-1,0,0.0,1000.138,0,0.0,1.138,0,0,1,IDLE
2,1779177887.304,2,0.7992,0.5819,999.0,1000.138,0,0,0.4852,1,0.0,-1,0,0.0,1000.138,0,0.0,1.138,0,0,1,IDLE
3,1779177887.864,0,0.7227,0.6389,999.0,1000.698,0,0,0.4921,1,0.0,-1,0,0.0,1000.698,0,0.0,1.698,0,0,1,IDLE
3,1779177887.864,1,0.5727,0.6972,999.0,1000.698,0,0,0.5025,1,0.0,-1,0,0.0,1000.698,0,0.0,1.698,0,0,1,IDLE
3,1779177887.864,2,0.7992,0.5819,999.0,1000.698,0,0,0.4852,1,0.0,-1,0,0.0,1000.698,0,0.0,1.698,0,0,1,IDLE
4,1779177888.44,0,0.7227,0.6389,999.0,1001.274,0,0,0.4921,1,0.0,-1,0,0.0,1001.274,0,0.0,2.274,0,0,1,IDLE
4,1779177888.44,1,0.5727,0.6958,999.0,1001.274,0,0,0.5011,1,0.0,-1,0,0.0,1001.274,0,0.0,2.274,0,0,1,IDLE
4,1779177888.44,2,0.7992,0.5819,999.0,1001.274,0,0,0.4852,1,0.0,-1,0,0.0,1001.274,0,0.0,2.274,0,0,1,IDLE
5,1779177888.995,0,0.7227,0.6403,999.0,1001.829,0,0,0.4934,1,0.0,-1,0,0.0,1001.829,0,0.0,2.829,0,0,1,IDLE
5,1779177888.995,1,0.5727,0.6958,999.0,1001.829,0,0,0.5011,1,0.0,-1,0,0.0,1001.829,0,0.0,2.829,0,0,1,IDLE
5,1779177888.995,2,0.7992,0.5819,999.0,1001.829,0,0,0.4852,1,0.0,-1,0,0.0,1001.829,0,0.0,2.829,0,0,1,IDLE
6,1779177889.572,0,0.7227,0.6403,999.0,1002.406,0,0,0.4934,1,0.0,-1,0,0.0,1002.406,0,0.0,3.406,0,0,1,IDLE
6,1779177889.572,1,0.5727,0.6958,999.0,1002.406,0,0,0.5011,1,0.0,-1,0,0.0,1002.406,0,0.0,3.406,0,0,1,IDLE
6,1779177889.572,2,0.7992,0.5819,999.0,1002.406,0,0,0.4852,1,0.0,-1,0,0.0,1002.406,0,0.0,3.406,0,0,1,IDLE
7,1779177890.137,0,0.7227,0.6403,999.0,1002.971,0,0,0.4934,1,0.0,-1,0,0.0,1002.971,0,0.0,3.971,0,0,1,IDLE
7,1779177890.137,1,0.5727,0.6972,999.0,1002.971,0,0,0.5025,1,0.0,-1,0,0.0,1002.971,0,0.0,3.971,0,0,1,IDLE
7,1779177890.137,2,0.7992,0.5819,999.0,1002.971,0,0,0.4852,1,0.0,-1,0,0.0,1002.971,0,0.0,3.971,0,0,1,IDLE
8,1779177890.712,0,0.7227,0.6389,0.1233,0.144,1,0,0.4921,1,0.0,0,1,0.145,0.0,1,0.0,4.546,0,1,0,ASK
8,1779177890.712,1,0.5734,0.6972,0.1819,1003.546,0,0,0.5026,1,0.0,0,0,0.0,1003.546,0,0.0,4.546,0,0,1,IDLE
8,1779177890.712,2,0.7992,0.5819,0.131,0.144,1,0,0.4852,1,0.0,0,0,0.145,0.0,1,0.0,4.546,0,1,0,ASK
9,1779177891.273,0,0.7227,0.6389,0.1221,0.706,1,0,0.4921,1,0.0,2,0,0.145,0.561,1,0.0,5.107,0,1,0,ASK
9,1779177891.273,1,0.5734,0.6972,0.2233,1004.107,0,0,0.5026,1,0.0,2,0,0.0,1004.107,0,0.0,5.107,0,0,1,IDLE
9,1779177891.273,2,0.7992,0.5819,0.0909,0.0,4,0,0.4852,1,0.0,2,1,0.58,0.561,1,0.0,5.107,0,1,0,WAIT
10,1779177891.83,0,0.7242,0.6403,0.1168,0.0,5,0,0.4941,1,0.0,2,0,0.703,1.119,1,0.0,5.665,0,1,0,ASK
10,1779177891.83,1,0.5734,0.6958,0.2346,1004.665,0,0,0.5012,1,0.0,2,0,0.0,1004.665,0,0.0,5.665,0,0,1,IDLE
10,1779177891.83,2,0.8,0.5819,0.0655,0.0,8,0,0.4857,1,0.0,2,1,1.137,1.119,1,0.0,5.665,0,1,0,WAIT
11,1779177892.408,0,0.7258,0.6403,0.1138,0.0,9,0,0.4948,1,0.0,2,0,1.28,1.696,1,0.0,6.242,0,1,0,ASK
11,1779177892.408,1,0.5727,0.6972,0.2415,1005.242,0,0,0.5025,1,0.0,2,0,0.0,1005.242,0,0.0,6.242,0,0,1,IDLE
