scene_id,timestamp,cup_id,x,y,hand_distance,last_touched_time,touch_count,moved_recently,distance_to_tray,user_present,user_absent_time,active_cup_id,is_active_cup,time_near_cup,time_since_release,release_count,cup_motion_distance,stationary_time,was_moved,used_cup_candidate,idle_candidate,label
0,1779178280.733,0,0.8766,0.7111,999.0,999.0,0,0,0.6348,1,0.0,-1,0,0.0,999.0,0,0.0,0.0,0,0,1,IDLE
0,1779178280.733,1,0.7422,0.7556,999.0,999.0,0,0,0.6061,1,0.0,-1,0,0.0,999.0,0,0.0,0.0,0,0,1,IDLE
0,1779178280.733,2,0.9734,0.5931,999.0,999.0,0,0,0.6153,1,0.0,-1,0,0.0,999.0,0,0.0,0.0,0,0,1,IDLE
1,1779178281.309,0,0.8766,0.7111,999.0,999.576,0,0,0.6348,1,0.0,-1,0,0.0,999.576,0,0.0,0.576,0,0,1,IDLE
1,1779178281.309,1,0.7422,0.7556,999.0,999.576,0,0,0.6061,1,0.0,-1,0,0.0,999.576,0,0.0,0.576,0,0,1,IDLE
1,1779178281.309,2,0.9734,0.5931,999.0,999.576,0,0,0.6153,1,0.0,-1,0,0.0,999.576,0,0.0,0.576,0,0,1,IDLE
2,1779178281.871,0,0.8766,0.7111,999.0,1000.138,0,0,0.6348,1,0.0,-1,0,0.0,1000.138,0,0.0,1.138,0,0,1,IDLE
2,1779178281.871,1,0.7414,0.7556,999.0,1000.138,0,0,0.6057,1,0.0,-1,0,0.0,1000.138,0,0.0,1.138,0,0,1,IDLE
2,1779178281.871,2,0.9734,0.5931,999.0,1000.138,0,0,0.6153,1,0.0,-1,0,0.0,1000.138,0,0.0,1.138,0,0,1,IDLE
3,1779178282.45,0,0.8766,0.7111,999.0,1000.717,0,0,0.6348,1,0.0,-1,0,0.0,1000.717,0,0.0,1.717,0,0,1,IDLE
3,1779178282.45,1,0.7414,0.7556,999.0,1000.717,0,0,0.6057,1,0.0,-1,0,0.0,1000.717,0,0.0,1.717,0,0,1,IDLE
3,1779178282.45,2,0.9734,0.5931,999.0,1000.717,0,0,0.6153,1,0.0,-1,0,0.0,1000.717,0,0.0,1.717,0,0,1,IDLE
4,1779178283.01,0,0.8766,0.7111,999.0,1001.277,0,0,0.6348,1,0.0,-1,0,0.0,1001.277,0,0.0,2.277,0,0,1,IDLE
4,1779178283.01,1,0.7414,0.7556,999.0,1001.277,0,0,0.6057,1,0.0,-1,0,0.0,1001.277,0,0.0,2.277,0,0,1,IDLE
4,1779178283.01,2,0.9734,0.5931,999.0,1001.277,0,0,0.6153,1,0.0,-1,0,0.0,1001.277,0,0.0,2.277,0,0,1,IDLE
5,1779178283.57,0,0.8766,0.7111,0.3978,1001.837,0,0,0.6348,1,0.0,1,0,0.0,1001.837,0,0.0,2.837,0,0,1,IDLE
5,1779178283.57,1,0.7414,0.7556,0.293,1001.837,0,0,0.6057,1,0.0,1,1,0.0,1001.837,0,0.0,2.837,0,0,1,IDLE
5,1779178283.57,2,0.9734,0.5931,0.4721,1001.837,0,0,0.6153,1,0.0,1,0,0.0,1001.837,0,0.0,2.837,0,0,1,IDLE
6,1779178284.146,0,0.8758,0.7097,999.0,1002.413,0,0,0.6333,1,0.289,-1,0,0.0,1002.413,0,0.0,3.413,0,0,1,IDLE
6,1779178284.146,1,0.2695,0.1889,999.0,0.289,1,1,0.2307,1,0.289,-1,0,0.143,0.144,1,0.4992,0.0,1,1,0,ASK
6,1779178284.146,2,0.9727,0.5931,999.0,1002.413,0,0,0.6147,1,0.289,-1,0,0.0,1002.413,0,0.0,3.413,0,0,1,IDLE
7,1779178284.704,0,0.8016,0.6639,999.0,1002.971,0,1,0.5533,1,0.848,-1,0,0.0,1002.971,0,0.0623,0.0,1,0,1,IDLE
7,1779178284.704,1,0.6711,0.7,999.0,0.848,1,1,0.5285,1,0.848,-1,0,0.143,0.703,1,1.0508,0.0,1,1,0,ASK
7,1779178284.704,2,0.9086,0.5569,999.0,1002.971,0,1,0.5425,1,0.848,-1,0,0.0,1002.971,0,0.0578,0.0,1,0,1,IDLE
8,1779178285.279,0,0.55,0.6472,999.0,1003.546,0,1,0.45,1,1.422,-1,0,0.0,1003.546,0,0.2704,0.0,1,0,1,IDLE
8,1779178285.279,1,0.4273,0.7056,999.0,1.422,1,1,0.5107,1,1.422,-1,0,0.143,1.277,1,1.2245,0.0,1,1,0,ASK
8,1779178285.279,2,0.6414,0.5278,999.0,1003.546,0,1,0.357,1,1.422,-1,0,0.0,1003.546,0,0.2762,0.0,1,0,1,IDLE
9,1779178285.84,0,0.6617,0.6917,999.0,1004.107,0,0,0.5176,1,1.984,-1,0,0.0,1004.107,0,0.3703,0.418,1,0,1,IDLE
9,1779178285.84,1,0.5375,0.7472,999.0,1.984,1,0,0.5485,1,1.984,-1,0,0.143,1.839,1,0.9717,0.418,1,1,0,ASK
9,1779178285.84,2,0.7555,0.5736,999.0,1004.107,0,0,0.4526,1,1.984,-1,0,0.0,1004.107,0,0.3777,0.418,1,0,1,IDLE
10,1779178286.416,0,0.6633,0.6944,999.0,1004.683,0,0,0.5207,1,2.559,-1,0,0.0,1004.683,0,0.3703,0.993,1,0,1,IDLE
10,1779178286.416,1,0.5383,0.7486,999.0,2.559,1,0,0.5499,1,2.559,-1,0,0.143,2.414,1,0.3272,0.993,1,1,0,ASK
10,1779178286.416,2,0.757,0.575,999.0,1004.683,0,0,0.4546,1,2.559,-1,0,0.0,1004.683,0,0.3777,0.993,1,0,1,IDLE
11,1779178286.977,0,0.6633,0.6944,0.3935,1005.243,0,0,0.5207,1,0.0,1,0,0.0,1005.243,0,0.1888,1.554,1,0,1,IDLE
11,1779178286.977,1,0.5391,0.7486,0.2821,3.12,1,0,0.55,1,0.0,1,1,0.143,2.975,1,0.1528,1.554,1,1,0,ASK
11,1779178286.977,2,0.757,0.575,0.4891,1005.243,0,0,0.4546,1,0.0,1,0,0.0,1005.243,0,0.1991,1.554,1,0,1,IDLE
12,1779178287.537,0,0.6633,0.6944,999.0,1005.804,0,0,0.5207,1,0.0,-1,0,0.0,1005.804,0,0.0,2.115,1,0,1,IDLE
12,1779178287.537,1,0.5391,0.75,999.0,3.681,1,0,0.5514,1,0.0,-1,0,0.143,3.536,1,0.0,2.115,1,1,0,ASK
12,1779178287.537,2,0.757,0.5764,999.0,1005.804,0,0,0.4558,1,0.0,-1,0,0.0,1005.804,0,0.0,2.115,1,0,1,IDLE
13,1779178288.108,0,0.6633,0.6958,999.0,1006.375,0,0,0.522,1,0.0,-1,0,0.0,1006.375,0,0.0,2.686,1,0,1,IDLE
13,1779178288.108,1,0.5391,0.75,999.0,4.251,1,0,0.5514,1,0.0,-1,0,0.143,4.106,1,0.0,2.686,1,1,0,ASK
13,1779178288.108,2,0.757,0.5764,999.0,1006.375,0,1,0.4558,1,0.0,-1,0,0.0,1006.375,0,1.1287,0.0,1,0,1,IDLE
14,1779178288.673,0,0.6633,0.6958,999.0,1006.94,0,0,0.522,1,0.0,-1,0,0.0,1006.94,0,0.0,3.251,1,0,1,IDLE
14,1779178288.673,1,0.5391,0.75,999.0,4.817,1,0,0.5514,1,0.0,-1,0,0.143,4.672,1,0.0,3.251,1,1,0,ASK
14,1779178288.673,2,0.757,0.5764,999.0,1006.94,0,0,0.4558,1,0.0,-1,0,0.0,1006.94,0,1.1287,0.565,1,0,1,IDLE
15,1779178289.247,0,0.6641,0.6944,0.1069,0.0,1,0,0.521,1,0.0,2,0,0.143,1007.514,0,0.0,3.825,1,1,0,IDLE
15,1779178289.247,1,0.5391,0.75,0.183,5.391,1,0,0.5514,1,0.0,2,0,0.143,5.246,1,0.0,3.825,1,1,0,ASK
15,1779178289.247,2,0.757,0.5764,0.0798,0.0,1,0,0.4558,1,0.0,2,1,0.143,1007.514,0,1.1287,1.14,1,1,0,WAIT
16,1779178289.808,0,0.6641,0.6944,0.1118,0.0,5,0,0.521,1,0.0,2,0,0.704,1008.075,0,0.0,4.386,1,1,0,IDLE
16,1779178289.808,1,0.5391,0.7514,0.2088,5.952,1,0,0.5528,1,0.0,2,0,0.143,5.807,1,0.0,4.386,1,1,0,ASK
16,1779178289.808,2,0.7578,0.5764,0.0418,0.0,5,0,0.4562,1,0.0,2,1,0.704,1008.075,0,1.1287,1.7,1,1,0,WAIT
17,1779178290.384,0,0.6641,0.6944,999.0,0.432,6,0,0.521,1,0.0,-1,0,0.849,0.288,1,0.0,4.962,1,1,0,ASK
17,1779178290.384,1,0.5391,0.75,999.0,6.528,1,0,0.5514,1,0.0,-1,0,0.143,6.383,1,0.0,4.962,1,1,0,ASK
17,1779178290.384,2,0.757,0.5764,999.0,0.432,6,0,0.4558,1,0.0,-1,0,0.849,0.288,1,0.0,2.277,1,1,0,ASK
18,1779178290.945,0,0.6641,0.6944,999.0,0.993,6,0,0.521,1,0.0,-1,0,0.849,0.849,1,0.0,5.523,1,1,0,ASK
18,1779178290.945,1,0.5391,0.7514,999.0,7.089,1,0,0.5528,1,0.0,-1,0,0.143,6.944,1,0.0,5.523,1,1,0,ASK
18,1779178290.945,2,0.7453,0.4958,999.0,0.993,6,1,0.3843,1,0.0,-1,0,0.849,0.849,1,0.0,0.0,1,1,0,ASK
19,1779178291.5,0,0.6648,0.6958,999.0,1.547,6,0,0.5225,1,0.0,-1,0,0.849,1.403,1,0.0,6.078,1,1,0,ASK
19,1779178291.5,1,0.5406,0.7514,999.0,7.644,1,0,0.5529,1,0.0,-1,0,0.143,7.499,1,0.0,6.078,1,1,0,ASK
19,1779178291.5,2,0.6773,0.4125,999.0,1.547,6,1,0.2768,1,0.0,-1,0,0.849,1.403,1,0.0,0.0,1,1,0,ASK
20,1779178292.081,0,0.6648,0.6958,999.0,2.129,6,0,0.5225,1,0.0,-1,0,0.849,1.985,1,0.0,6.659,1,1,0,ASK
20,1779178292.081,1,0.5406,0.7514,999.0,8.225,1,0,0.5529,1,0.0,-1,0,0.143,8.08,1,0.0,6.659,1,1,0,ASK
20,1779178292.081,2,0.6664,0.4056,999.0,2.129,6,0,0.2645,1,0.0,-1,0,0.849,1.985,1,0.0,0.433,1,1,0,ASK
21,1779178292.641,0,0.6648,0.6958,0.1262,0.144,7,0,0.5225,1,0.0,2,0,0.977,0.0,2,0.0,7.219,1,1,0,ASK
21,1779178292.641,1,0.5406,0.7514,0.1916,8.784,1,0,0.5529,1,0.0,2,0,0.143,8.639,1,0.0,7.219,1,1,0,ASK
21,1779178292.641,2,0.6297,0.4347,0.0375,0.0,9,0,0.2682,1,0.0,2,1,1.266,2.544,1,0.0,0.144,1,1,0,WAIT
22,1779178293.214,0,0.6648,0.6958,999.0,0.717,7,0,0.5225,1,0.0,-1,0,0.977,0.573,2,0.0,7.792,1,1,0,ASK
22,1779178293.214,1,0.5406,0.7514,999.0,9.357,1,0,0.5529,1,0.0,-1,0,0.143,9.212,1,0.0,7.792,1,1,0,ASK
22,1779178293.214,2,0.6562,0.4111,999.0,0.285,11,1,0.2626,1,0.0,-1,0,1.554,0.141,2,0.0,0.0,1,1,0,ASK
23,1779178293.775,0,0.6648,0.6958,0.1383,1.278,7,0,0.5225,1,0.0,2,0,0.977,1.134,2,0.0,8.353,1,1,0,ASK
23,1779178293.775,1,0.5406,0.7514,0.2101,9.919,1,0,0.5529,1,0.0,2,0,0.143,9.774,1,0.0,8.353,1,1,0,ASK
23,1779178293.775,2,0.6781,0.3972,0.016,0.0,15,0,0.2658,1,0.0,2,1,2.115,0.703,2,0.0,0.286,1,1,0,WAIT
