scene_id,timestamp,cup_id,x,y,hand_distance,last_touched_time,touch_count,moved_recently,distance_to_tray,user_present,user_absent_time,label
0,1779169698.505,0,0.8266,0.4583,0.3017,999.0,0,0,0.4164,1,0.0,CLEANUP_CANDIDATE
0,1779169698.505,1,0.8461,0.5833,0.3239,999.0,0,0,0.5165,1,0.0,CLEANUP_CANDIDATE
0,1779169698.505,2,0.5336,0.5889,0.0763,0.0,1,0,0.3903,1,0.0,WAIT
1,1779169699.07,0,0.8273,0.4917,0.1267,999.565,0,0,0.4384,1,0.0,CLEANUP_CANDIDATE
1,1779169699.07,1,0.6867,0.5083,0.0402,0.0,3,0,0.3605,1,0.0,WAIT
1,1779169699.07,2,0.5328,0.5889,0.156,0.291,2,0,0.3903,1,0.0,ASK
2,1779169699.626,0,0.8156,0.4917,0.0564,0.0,3,0,0.4298,1,0.0,WAIT
2,1779169699.626,1,0.6813,0.5375,0.131,0.556,3,0,0.3831,1,0.0,ASK
2,1779169699.626,2,0.5297,0.5917,0.2595,0.415,3,0,0.3928,1,0.0,ASK
3,1779169700.2,0,0.807,0.4806,999.0,0.139,6,0,0.4159,1,0.139,ASK
3,1779169700.2,1,0.6742,0.4931,999.0,1.13,3,1,0.3409,1,0.139,ASK
3,1779169700.2,2,0.5289,0.5917,999.0,0.989,3,0,0.3927,1,0.139,ASK
4,1779169700.766,0,0.807,0.4806,0.2957,0.705,6,0,0.4159,1,0.0,ASK
4,1779169700.766,1,0.6813,0.5389,0.1899,1.696,3,0,0.3843,1,0.0,ASK
4,1779169700.766,2,0.5281,0.5917,0.0833,0.0,5,0,0.3927,1,0.0,WAIT
5,1779169701.342,0,0.807,0.4806,0.2223,1.281,6,0,0.4159,1,0.0,ASK
5,1779169701.342,1,0.682,0.5389,0.1202,2.272,3,0,0.3847,1,0.0,ASK
5,1779169701.342,2,0.5297,0.5917,0.0696,0.0,9,0,0.3928,1,0.0,WAIT
6,1779169701.901,0,0.807,0.4806,0.2147,1.841,6,0,0.4159,1,0.0,ASK
6,1779169701.901,1,0.6813,0.5375,0.1045,0.0,7,0,0.3831,1,0.0,WAIT
6,1779169701.901,2,0.5289,0.5917,0.045,0.0,13,0,0.3927,1,0.0,WAIT
7,1779169702.477,0,0.807,0.4806,0.212,2.416,6,0,0.4159,1,0.0,ASK
7,1779169702.477,1,0.6813,0.5375,0.1018,0.0,11,0,0.3831,1,0.0,WAIT
7,1779169702.477,2,0.5289,0.5917,0.0468,0.0,17,0,0.3927,1,0.0,WAIT
8,1779169703.036,0,0.8063,0.4792,0.2123,2.976,6,0,0.4144,1,0.0,ASK
8,1779169703.036,1,0.6813,0.5347,0.1015,0.0,15,0,0.3806,1,0.0,WAIT
8,1779169703.036,2,0.5289,0.5917,0.0411,0.0,21,0,0.3927,1,0.0,WAIT
