scene_id,timestamp,cup_id,x,y,hand_distance,last_touched_time,touch_count,moved_recently,distance_to_tray,user_present,user_absent_time,label,source_file
0,1779169479.755,0,0.6531,0.5528,0.0769,0.0,1,0,0.3846,1,0.0,WAIT,interaction_green.csv
0,1779169479.755,2,0.8586,0.1069,0.2175,999.0,0,0,0.3705,1,0.0,CLEANUP_CANDIDATE,interaction_green.csv
1,1779169480.315,0,0.6531,0.5542,0.1031,0.0,2,0,0.3859,1,0.0,WAIT,interaction_green.csv
1,1779169480.315,1,0.4938,0.2653,0.1234,0.141,3,0,0.0656,1,0.0,ASK,interaction_green.csv
1,1779169480.315,2,0.3375,0.9236,0.27,999.56,0,0,0.7416,1,0.0,CLEANUP_CANDIDATE,interaction_green.csv
2,1779169480.894,0,0.6531,0.5167,0.0456,0.0,6,0,0.3517,1,0.0,WAIT,interaction_green.csv
2,1779169480.894,1,0.5094,0.2736,0.172,0.72,3,0,0.0742,1,0.0,ASK,interaction_green.csv
2,1779169480.894,2,0.8594,0.1069,0.3145,1000.139,0,1,0.3712,1,0.0,CLEANUP_CANDIDATE,interaction_green.csv
3,1779169481.451,0,0.6641,0.4736,0.0459,0.0,10,0,0.319,1,0.0,WAIT,interaction_green.csv
3,1779169481.451,1,0.4891,0.3167,0.1834,1.276,3,0,0.1172,1,0.0,ASK,interaction_green.csv
3,1779169481.451,2,0.8594,0.1069,0.2897,1000.696,0,1,0.3712,1,0.0,CLEANUP_CANDIDATE,interaction_green.csv
4,1779169482.027,0,0.6555,0.4653,0.0435,0.0,14,0,0.3075,1,0.0,WAIT,interaction_green.csv
4,1779169482.027,1,0.4828,0.2917,0.1919,1.853,3,0,0.0933,1,0.0,ASK,interaction_green.csv
4,1779169482.027,2,0.8594,0.1069,0.2865,1001.272,0,1,0.3712,1,0.0,CLEANUP_CANDIDATE,interaction_green.csv
5,1779169482.59,0,0.6547,0.4667,0.0454,0.0,18,0,0.3083,1,0.0,WAIT,interaction_green.csv
5,1779169482.59,1,0.525,0.2708,0.1739,2.416,3,0,0.0751,1,0.0,ASK,interaction_green.csv
5,1779169482.59,2,0.8594,0.1069,0.2903,1001.835,0,0,0.3712,1,0.0,CLEANUP_CANDIDATE,interaction_green.csv
6,1779169483.149,0,0.6562,0.4681,0.0441,0.0,22,0,0.3103,1,0.0,WAIT,interaction_green.csv
6,1779169483.149,1,0.5109,0.2806,0.1781,2.975,3,0,0.0813,1,0.0,ASK,interaction_green.csv
6,1779169483.149,2,0.3781,0.8819,0.282,1002.394,0,0,0.6927,1,0.0,CLEANUP_CANDIDATE,interaction_green.csv
7,1779169483.726,0,0.6586,0.4736,0.0436,0.0,26,0,0.3163,1,0.0,WAIT,interaction_green.csv
7,1779169483.726,1,0.5094,0.2861,0.1794,3.552,3,0,0.0866,1,0.0,ASK,interaction_green.csv
7,1779169483.726,2,0.3773,0.8806,0.2821,1002.971,0,1,0.6915,1,0.0,CLEANUP_CANDIDATE,interaction_green.csv
8,1779169484.285,0,0.6602,0.4778,0.0431,0.0,30,0,0.3206,1,0.0,WAIT,interaction_green.csv
8,1779169484.285,1,0.532,0.2444,0.1853,4.111,3,0,0.0548,1,0.0,ASK,interaction_green.csv
8,1779169484.285,2,0.3781,0.8764,0.2803,1003.53,0,0,0.6873,1,0.0,CLEANUP_CANDIDATE,interaction_green.csv
9,1779169484.861,0,0.6625,0.475,0.0431,0.0,34,0,0.3194,1,0.0,WAIT,interaction_green.csv
9,1779169484.861,1,0.4766,0.3042,0.1958,4.687,3,1,0.1068,1,0.0,ASK,interaction_green.csv
9,1779169484.861,2,0.8594,0.1069,0.2878,1004.107,0,0,0.3712,1,0.0,CLEANUP_CANDIDATE,interaction_green.csv
10,1779169485.421,0,0.618,0.3375,0.0341,0.0,38,1,0.1812,1,0.0,WAIT,interaction_green.csv
10,1779169485.421,1,0.3172,0.3958,0.2629,5.247,3,1,0.2679,1,0.0,ASK,interaction_green.csv
10,1779169485.421,2,0.8602,0.1069,0.2567,1004.666,0,0,0.372,1,0.0,CLEANUP_CANDIDATE,interaction_green.csv
11,1779169485.998,0,0.5656,0.3542,0.0326,0.0,42,0,0.1676,1,0.0,WAIT,interaction_green.csv
11,1779169485.998,1,0.2062,0.4972,0.3095,5.823,3,0,0.4179,1,0.0,ASK,interaction_green.csv
11,1779169485.998,2,0.8602,0.1069,0.3042,1005.243,0,0,0.372,1,0.0,CLEANUP_CANDIDATE,interaction_green.csv
12,1779169486.557,0,0.5594,0.3903,0.0346,0.0,46,0,0.1993,1,0.0,WAIT,interaction_green.csv
12,1779169486.557,1,0.4008,0.3458,0.1548,6.383,3,1,0.1764,1,0.0,ASK,interaction_green.csv
12,1779169486.557,2,0.8609,0.1069,0.3095,1005.802,0,0,0.3727,1,0.0,CLEANUP_CANDIDATE,interaction_green.csv
13,1779169487.116,0,0.6516,0.3389,0.0423,0.0,50,1,0.2056,1,0.0,WAIT,interaction_green.csv
13,1779169487.116,1,0.5719,0.3125,0.0795,0.0,5,0,0.1335,1,0.0,WAIT,interaction_green.csv
13,1779169487.116,2,0.8617,0.1069,0.2481,1006.361,0,0,0.3735,1,0.0,CLEANUP_CANDIDATE,interaction_green.csv
14,1779169487.694,0,0.5953,0.2778,0.0343,0.0,54,0,0.123,1,0.0,WAIT,interaction_green.csv
14,1779169487.694,1,0.5484,0.3014,0.0502,0.0,8,0,0.1124,1,0.0,WAIT,interaction_green.csv
14,1779169487.694,2,0.8609,0.1069,0.2561,1006.939,0,0,0.3727,1,0.0,CLEANUP_CANDIDATE,interaction_green.csv
15,1779169488.254,0,0.5906,0.2833,0.0347,0.0,58,0,0.1231,1,0.0,WAIT,interaction_green.csv
15,1779169488.254,2,0.8609,0.1069,0.2682,1007.499,0,0,0.3727,1,0.0,CLEANUP_CANDIDATE,interaction_green.csv
16,1779169488.829,0,0.5883,0.2444,0.0356,0.0,62,0,0.0988,1,0.0,WAIT,interaction_green.csv
16,1779169488.829,2,0.8609,0.1069,0.267,1008.074,0,0,0.3727,1,0.0,CLEANUP_CANDIDATE,interaction_green.csv
17,1779169489.389,0,0.5828,0.2389,0.0347,0.0,66,0,0.0915,1,0.0,WAIT,interaction_green.csv
17,1779169489.389,2,0.8609,0.1069,0.2707,1008.634,0,0,0.3727,1,0.0,CLEANUP_CANDIDATE,interaction_green.csv
18,1779169489.965,0,0.6766,0.4361,999.0,0.436,67,1,0.2948,1,0.0,ASK,interaction_green.csv
18,1779169489.965,1,0.5172,0.2486,999.0,0.289,9,0,0.0516,1,0.0,ASK,interaction_green.csv
18,1779169489.965,2,0.8617,0.1069,999.0,1009.21,0,0,0.3735,1,0.0,CLEANUP_CANDIDATE,interaction_green.csv
19,1779169490.525,0,0.6852,0.5014,0.0445,0.0,71,0,0.3537,1,0.0,WAIT,interaction_green.csv
19,1779169490.525,2,0.8609,0.1069,0.2902,1009.77,0,0,0.3727,1,0.0,CLEANUP_CANDIDATE,interaction_green.csv
20,1779169491.083,0,0.6844,0.5014,0.0448,0.0,75,0,0.3533,1,0.0,WAIT,interaction_green.csv
20,1779169491.083,2,0.8609,0.1069,0.2908,1010.328,0,0,0.3727,1,0.0,CLEANUP_CANDIDATE,interaction_green.csv
21,1779169491.663,0,0.6844,0.5014,0.0448,0.0,79,0,0.3533,1,0.0,WAIT,interaction_green.csv
21,1779169491.663,2,0.8609,0.1069,0.2908,1010.908,0,0,0.3727,1,0.0,CLEANUP_CANDIDATE,interaction_green.csv
22,1779169492.221,0,0.6859,0.5042,0.0454,0.0,83,0,0.3565,1,0.0,WAIT,interaction_green.csv
22,1779169492.221,2,0.8609,0.1069,0.2916,1011.466,0,0,0.3727,1,0.0,CLEANUP_CANDIDATE,interaction_green.csv
23,1779169492.792,0,0.6859,0.5069,0.0448,0.0,87,0,0.3589,1,0.0,WAIT,interaction_green.csv
23,1779169492.792,2,0.8609,0.1069,0.2922,1012.037,0,0,0.3727,1,0.0,CLEANUP_CANDIDATE,interaction_green.csv
24,1779169493.358,0,0.6859,0.5042,0.046,0.0,91,0,0.3565,1,0.0,WAIT,interaction_green.csv
24,1779169493.358,2,0.8609,0.1069,0.2922,1012.603,0,0,0.3727,1,0.0,CLEANUP_CANDIDATE,interaction_green.csv
25,1779169493.934,0,0.6828,0.5597,0.0494,0.0,95,0,0.4035,1,0.0,WAIT,interaction_green.csv
25,1779169493.934,1,0.4984,0.2097,0.2099,4.258,9,0,0.0098,1,0.0,ASK,interaction_green.csv
25,1779169493.934,2,0.8609,0.1069,0.3062,1013.179,0,0,0.3727,1,0.0,CLEANUP_CANDIDATE,interaction_green.csv
26,1779169494.493,0,0.6828,0.5597,0.0928,0.0,99,0,0.4035,1,0.0,WAIT,interaction_green.csv
