scene_id,timestamp,cup_id,x,y,hand_distance,last_touched_time,touch_count,moved_recently,distance_to_tray,user_present,user_absent_time,active_cup_id,is_active_cup,time_near_cup,time_since_release,release_count,cup_motion_distance,stationary_time,was_moved,used_cup_candidate,idle_candidate,label
0,1779178483.458,0,0.6937,0.6486,999.0,999.0,0,0,0.4887,1,0.0,-1,0,0.0,999.0,0,0.0,0.0,0,0,1,IDLE
0,1779178483.458,1,0.4992,0.7472,999.0,999.0,0,0,0.5472,1,0.0,-1,0,0.0,999.0,0,0.0,0.0,0,0,1,IDLE
0,1779178483.458,2,0.8539,0.5806,999.0,999.0,0,0,0.5197,1,0.0,-1,0,0.0,999.0,0,0.0,0.0,0,0,1,IDLE
1,1779178484.035,0,0.693,0.6486,999.0,999.577,0,0,0.4884,1,0.0,-1,0,0.0,999.577,0,0.0,0.577,0,0,1,IDLE
1,1779178484.035,1,0.5,0.7458,999.0,999.577,0,0,0.5458,1,0.0,-1,0,0.0,999.577,0,0.0,0.577,0,0,1,IDLE
1,1779178484.035,2,0.8539,0.5792,999.0,999.577,0,0,0.5187,1,0.0,-1,0,0.0,999.577,0,0.0,0.577,0,0,1,IDLE
2,1779178484.592,0,0.6937,0.6486,999.0,1000.134,0,0,0.4887,1,0.0,-1,0,0.0,1000.134,0,0.0,1.134,0,0,1,IDLE
2,1779178484.592,1,0.5,0.7472,999.0,1000.134,0,0,0.5472,1,0.0,-1,0,0.0,1000.134,0,0.0,1.134,0,0,1,IDLE
2,1779178484.592,2,0.8539,0.5806,999.0,1000.134,0,0,0.5197,1,0.0,-1,0,0.0,1000.134,0,0.0,1.134,0,0,1,IDLE
3,1779178485.173,0,0.6937,0.6486,999.0,1000.715,0,0,0.4887,1,0.0,-1,0,0.0,1000.715,0,0.0,1.715,0,0,1,IDLE
3,1779178485.173,1,0.4992,0.7444,999.0,1000.715,0,0,0.5444,1,0.0,-1,0,0.0,1000.715,0,0.0,1.715,0,0,1,IDLE
