scene_id,timestamp,cup_id,x,y,hand_distance,last_touched_time,touch_count,moved_recently,distance_to_tray,user_present,user_absent_time,active_cup_id,is_active_cup,time_near_cup,time_since_release,release_count,cup_motion_distance,stationary_time,was_moved,used_cup_candidate,idle_candidate,label
0,1779176146.483,1,0.8781,0.6,999.0,999.0,0,0,0.5504,1,0.0,-1,0,0.0,999.0,0,0.0,0.0,0,0,1,IDLE
0,1779176146.483,2,0.1117,0.3139,999.0,999.0,0,0,0.4046,1,0.0,-1,0,0.0,999.0,0,0.0,0.0,0,0,1,IDLE
1,1779176147.041,1,0.8781,0.6,999.0,999.558,0,0,0.5504,1,0.0,-1,0,0.0,999.558,0,0.0,0.558,0,0,1,IDLE
1,1779176147.041,2,0.1109,0.3125,999.0,999.558,0,0,0.405,1,0.0,-1,0,0.0,999.558,0,0.0041,0.558,0,0,1,IDLE
2,1779176147.608,1,0.8781,0.6,999.0,1000.124,0,0,0.5504,1,0.0,-1,0,0.0,1000.124,0,0.0,1.124,0,0,1,IDLE
2,1779176147.608,2,0.1125,0.3125,999.0,1000.124,0,0,0.4035,1,0.0,-1,0,0.0,1000.124,0,0.0082,1.124,0,0,1,IDLE
3,1779176148.186,1,0.8773,0.6,999.0,1000.703,0,0,0.5499,1,0.0,-1,0,0.0,1000.703,0,0.0007,1.703,0,0,1,IDLE
3,1779176148.186,2,0.1117,0.3083,999.0,1000.703,0,0,0.4031,1,0.0,-1,0,0.0,1000.703,0,0.0144,1.703,0,0,1,IDLE
4,1779176148.739,1,0.8773,0.6,999.0,1001.255,0,0,0.5499,1,0.141,-1,0,0.0,1001.255,0,0.002,2.255,0,0,1,IDLE
5,1779176149.317,1,0.8773,0.6,999.0,1001.834,0,0,0.5499,1,0.0,-1,0,0.0,1001.834,0,0.0053,2.834,0,0,1,IDLE
6,1779176149.881,0,0.5945,0.5486,999.0,999.145,0,1,0.3612,1,0.289,-1,0,0.0,999.145,0,0.2506,0.0,1,1,0,ASK
6,1779176149.881,1,0.4703,0.6056,999.0,1002.398,0,1,0.4066,1,0.289,-1,0,0.0,1002.398,0,0.3606,0.0,1,1,0,ASK
