scene_id,timestamp,cup_id,x,y,hand_distance,last_touched_time,touch_count,moved_recently,distance_to_tray,user_present,user_absent_time,label
0,1779169378.631,1,0.9766,0.7986,0.158,999.0,0,0,0.7651,1,0.0,CLEANUP_CANDIDATE
0,1779169378.631,2,0.0242,0.5083,0.6864,999.0,0,0,0.567,1,0.0,CLEANUP_CANDIDATE
1,1779169379.196,1,0.9773,0.7986,0.158,999.565,0,0,0.7656,1,0.0,CLEANUP_CANDIDATE
1,1779169379.196,2,0.0234,0.4875,0.69,999.565,0,1,0.5566,1,0.0,CLEANUP_CANDIDATE
2,1779169379.752,1,0.9766,0.7986,0.1573,1000.121,0,0,0.7651,1,0.0,CLEANUP_CANDIDATE
2,1779169379.752,2,0.0234,0.5083,0.6877,1000.121,0,0,0.5676,1,0.0,CLEANUP_CANDIDATE
3,1779169380.33,1,0.9766,0.8,0.1808,1000.699,0,0,0.7662,1,0.0,CLEANUP_CANDIDATE
3,1779169380.33,2,0.0242,0.5181,0.662,1000.699,0,0,0.5723,1,0.0,CLEANUP_CANDIDATE
4,1779169380.892,1,0.9766,0.7986,0.4326,1001.261,0,0,0.7651,1,0.0,CLEANUP_CANDIDATE
4,1779169380.892,2,0.0242,0.4972,0.4197,1001.261,0,0,0.561,1,0.0,CLEANUP_CANDIDATE
5,1779169381.468,1,0.9766,0.7986,999.0,1001.837,0,0,0.7651,1,0.149,CLEANUP_CANDIDATE
5,1779169381.468,2,0.0234,0.5181,999.0,1001.837,0,0,0.5729,1,0.149,CLEANUP_CANDIDATE
6,1779169382.028,1,0.2211,0.5681,999.0,1002.397,0,1,0.4618,1,0.43,CLEANUP_CANDIDATE
7,1779169382.587,1,0.6055,0.6319,999.0,1002.956,0,1,0.4446,1,0.989,CLEANUP_CANDIDATE
7,1779169382.587,2,0.8133,0.1389,999.0,1002.956,0,1,0.3192,1,0.989,CLEANUP_CANDIDATE
8,1779169383.165,1,0.557,0.2653,0.1536,1003.534,0,1,0.0867,1,0.0,CLEANUP_CANDIDATE
9,1779169383.724,1,0.5461,0.5708,0.1513,1004.092,0,0,0.3737,1,0.0,CLEANUP_CANDIDATE
9,1779169383.724,2,0.2883,0.9653,0.1453,1004.092,0,1,0.794,1,0.0,CLEANUP_CANDIDATE
10,1779169384.299,1,0.6328,0.5764,0.1499,1004.668,0,1,0.3991,1,0.0,CLEANUP_CANDIDATE
11,1779169384.861,0,0.8555,0.8208,0.2544,999.0,0,0,0.7154,1,0.0,CLEANUP_CANDIDATE
11,1779169384.861,1,0.7008,0.5569,0.1541,1005.23,0,0,0.4095,1,0.0,CLEANUP_CANDIDATE
11,1779169384.861,2,0.8438,0.1083,0.4009,1005.23,0,0,0.3558,1,0.0,CLEANUP_CANDIDATE
12,1779169385.435,1,0.7016,0.5569,0.153,1005.804,0,0,0.4099,1,0.0,CLEANUP_CANDIDATE
12,1779169385.435,2,0.8445,0.1083,0.4002,1005.804,0,0,0.3565,1,0.0,CLEANUP_CANDIDATE
13,1779169385.996,1,0.7031,0.5569,0.16,1006.365,0,0,0.4107,1,0.0,CLEANUP_CANDIDATE
13,1779169385.996,2,0.8469,0.1083,0.4027,1006.365,0,0,0.3588,1,0.0,CLEANUP_CANDIDATE
14,1779169386.556,1,0.7039,0.5389,0.1058,0.0,2,0,0.3955,1,0.0,WAIT
14,1779169386.556,2,0.8469,0.1069,0.3058,1006.925,0,0,0.3591,1,0.0,CLEANUP_CANDIDATE
15,1779169387.129,1,0.7016,0.5389,0.1644,0.432,3,0,0.3943,1,0.0,ASK
15,1779169387.129,2,0.8477,0.1083,0.3072,1007.498,0,0,0.3595,1,0.0,CLEANUP_CANDIDATE
16,1779169387.692,1,0.6992,0.6125,999.0,0.995,3,1,0.4581,1,0.563,ASK
16,1779169387.692,2,0.4414,0.3319,999.0,1008.061,0,1,0.1444,1,0.563,CLEANUP_CANDIDATE
17,1779169388.27,1,0.7031,0.5903,999.0,1.573,3,0,0.44,1,1.141,ASK
17,1779169388.27,2,0.5102,0.1486,999.0,1008.639,0,0,0.0524,1,1.141,CLEANUP_CANDIDATE
18,1779169388.828,1,0.7031,0.5931,999.0,2.131,3,0,0.4424,1,1.699,ASK
18,1779169388.828,2,0.5156,0.1458,999.0,1009.197,0,0,0.0564,1,1.699,CLEANUP_CANDIDATE
19,1779169389.403,1,0.7039,0.5958,999.0,2.707,3,0,0.4453,1,0.144,ASK
19,1779169389.403,2,0.8484,0.1083,999.0,1009.772,0,1,0.3603,1,0.144,CLEANUP_CANDIDATE
20,1779169389.964,1,0.7094,0.55,0.0433,0.0,6,0,0.4078,1,0.0,WAIT
20,1779169389.964,2,0.8578,0.1069,0.2694,1010.333,0,0,0.3697,1,0.0,CLEANUP_CANDIDATE
21,1779169390.524,1,0.7242,0.5139,0.0302,0.0,10,1,0.3857,1,0.0,WAIT
21,1779169390.524,2,0.8578,0.1069,0.2612,1010.893,0,0,0.3697,1,0.0,CLEANUP_CANDIDATE
22,1779169391.101,1,0.7063,0.4931,0.0375,0.0,14,0,0.3584,1,0.0,WAIT
22,1779169391.101,2,0.8578,0.1069,0.2678,1011.47,0,0,0.3697,1,0.0,CLEANUP_CANDIDATE
23,1779169391.661,1,0.6766,0.4958,0.0409,0.0,18,0,0.3445,1,0.0,WAIT
23,1779169391.661,2,0.8578,0.1069,0.2814,1012.03,0,0,0.3697,1,0.0,CLEANUP_CANDIDATE
24,1779169392.231,1,0.6781,0.5611,0.0289,0.0,22,1,0.4027,1,0.0,WAIT
24,1779169392.231,2,0.8578,0.1069,0.3009,1012.599,0,0,0.3697,1,0.0,CLEANUP_CANDIDATE
25,1779169392.795,1,0.6781,0.5611,999.0,0.565,22,0,0.4027,1,0.0,ASK
25,1779169392.795,2,0.8578,0.1069,999.0,1013.164,0,0,0.3697,1,0.0,CLEANUP_CANDIDATE
26,1779169393.366,1,0.6852,0.5625,0.4572,1.136,22,0,0.407,1,0.0,ASK
26,1779169393.366,2,0.8578,0.1069,0.699,1013.735,0,0,0.3697,1,0.0,CLEANUP_CANDIDATE
27,1779169393.932,1,0.6945,0.5625,999.0,1.701,22,0,0.4114,1,0.0,ASK
27,1779169393.932,2,0.8578,0.1069,999.0,1014.301,0,0,0.3697,1,0.0,CLEANUP_CANDIDATE
28,1779169394.491,1,0.6945,0.5611,0.4482,2.26,22,0,0.4102,1,0.0,ASK
28,1779169394.491,2,0.8578,0.1069,0.6701,1014.86,0,0,0.3697,1,0.0,CLEANUP_CANDIDATE
29,1779169395.063,1,0.6945,0.5625,0.423,2.832,22,0,0.4114,1,0.0,ASK
29,1779169395.063,2,0.8578,0.1069,0.6458,1015.432,0,0,0.3697,1,0.0,CLEANUP_CANDIDATE
30,1779169395.628,1,0.693,0.5611,999.0,3.397,22,0,0.4094,1,0.0,ASK
30,1779169395.628,2,0.8578,0.1069,999.0,1015.997,0,0,0.3697,1,0.0,CLEANUP_CANDIDATE
31,1779169396.2,1,0.6914,0.5625,0.0434,0.0,24,0,0.4099,1,0.0,WAIT
31,1779169396.2,2,0.8578,0.1069,0.2971,1016.569,0,0,0.3697,1,0.0,CLEANUP_CANDIDATE
32,1779169396.761,1,0.7031,0.4889,0.033,0.0,28,0,0.3532,1,0.0,WAIT
32,1779169396.761,2,0.8578,0.1069,0.2629,1017.13,0,0,0.3697,1,0.0,CLEANUP_CANDIDATE
33,1779169397.339,1,0.6734,0.3597,0.0348,0.0,32,0,0.2358,1,0.0,WAIT
33,1779169397.339,2,0.8578,0.1069,0.2278,1017.708,0,0,0.3697,1,0.0,CLEANUP_CANDIDATE
34,1779169397.899,1,0.6625,0.3347,0.0395,0.0,36,0,0.2111,1,0.0,WAIT
34,1779169397.899,2,0.8578,0.1069,0.2192,1018.268,0,0,0.3697,1,0.0,CLEANUP_CANDIDATE
35,1779169398.456,1,0.6625,0.3417,0.0424,0.0,40,0,0.2156,1,0.0,WAIT
35,1779169398.456,2,0.8578,0.1069,0.2288,1018.825,0,0,0.3697,1,0.0,CLEANUP_CANDIDATE
36,1779169399.031,1,0.6648,0.3528,0.0562,0.0,44,0,0.2248,1,0.0,WAIT
36,1779169399.031,2,0.8578,0.1069,0.2293,1019.4,0,0,0.3697,1,0.0,CLEANUP_CANDIDATE
37,1779169399.596,1,0.6742,0.3722,0.0409,0.0,48,0,0.245,1,0.0,WAIT
37,1779169399.596,2,0.8578,0.1069,0.2355,1019.965,0,0,0.3697,1,0.0,CLEANUP_CANDIDATE
38,1779169400.17,1,0.7023,0.4861,0.0423,0.0,52,0,0.3504,1,0.0,WAIT
38,1779169400.17,2,0.8578,0.1069,0.269,1020.539,0,0,0.3697,1,0.0,CLEANUP_CANDIDATE
39,1779169400.732,1,0.7063,0.4889,0.0417,0.0,56,0,0.355,1,0.0,WAIT
39,1779169400.732,2,0.8578,0.1069,0.2704,1021.101,0,0,0.3697,1,0.0,CLEANUP_CANDIDATE
40,1779169401.287,1,0.7055,0.5486,0.1006,0.0,60,0,0.4047,1,0.0,WAIT
40,1779169401.287,2,0.8578,0.1069,0.3545,1021.656,0,0,0.3697,1,0.0,CLEANUP_CANDIDATE
41,1779169401.868,1,0.7055,0.5486,0.0465,0.0,64,0,0.4047,1,0.0,WAIT
41,1779169401.868,2,0.8578,0.1069,0.2425,1022.237,0,0,0.3697,1,0.0,CLEANUP_CANDIDATE
42,1779169402.426,1,0.7055,0.5486,0.047,0.0,68,0,0.4047,1,0.0,WAIT
42,1779169402.426,2,0.8578,0.1069,0.242,1022.795,0,0,0.3697,1,0.0,CLEANUP_CANDIDATE
43,1779169403.004,1,0.7063,0.5486,0.1003,0.0,72,0,0.4051,1,0.0,WAIT
43,1779169403.004,2,0.8578,0.1069,0.3538,1023.372,0,0,0.3697,1,0.0,CLEANUP_CANDIDATE
44,1779169403.559,1,0.7063,0.5486,0.1006,0.0,76,0,0.4051,1,0.0,WAIT
44,1779169403.559,2,0.8578,0.1069,0.3542,1023.928,0,0,0.3697,1,0.0,CLEANUP_CANDIDATE
45,1779169404.14,1,0.7063,0.5486,0.1012,0.0,80,0,0.4051,1,0.0,WAIT
45,1779169404.14,2,0.8578,0.1069,0.3548,1024.509,0,0,0.3697,1,0.0,CLEANUP_CANDIDATE
46,1779169404.701,1,0.7063,0.5486,0.1006,0.0,84,0,0.4051,1,0.0,WAIT
46,1779169404.701,2,0.8578,0.1069,0.3542,1025.07,0,0,0.3697,1,0.0,CLEANUP_CANDIDATE
